time,p1,p2,p3,v1,v2,v3,r11,r12,r13,r11,r12,r13,r11,r12,r13,omega1,omega2,omega3,
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.691844,0.560516,0.455163,-0.667207,0.737257,0.106246,-0.276019,-0.377193,0.884047,0.109397,0.003411,1.116548,
5.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.762223,0.476438,0.438205,-0.583021,0.799423,0.144947,-0.281253,-0.365964,0.887112,0.123228,-0.033972,1.110708,
5.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.823396,0.387694,0.414382,-0.491488,0.852235,0.179262,-0.283652,-0.351267,0.892274,0.143073,-0.066692,1.103563,
5.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.874538,0.295186,0.384770,-0.393733,0.895384,0.207996,-0.283119,-0.333397,0.899272,0.167856,-0.093787,1.095423,
5.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.914962,0.199786,0.350613,-0.290983,0.928619,0.230207,-0.279594,-0.312654,0.907786,0.196369,-0.114541,1.086619,
5.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.944132,0.102350,0.313272,-0.184543,0.951739,0.245228,-0.273054,-0.289340,0.917455,0.227321,-0.128500,1.077498,
5.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961673,0.003726,0.274173,-0.075776,0.964579,0.252677,-0.263520,-0.263768,0.927892,0.259389,-0.135477,1.068403,
5.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.967378,-0.095227,0.234760,0.033925,0.967013,0.252458,-0.251056,-0.236258,0.938697,0.291263,-0.135543,1.059663,
5.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961207,-0.193632,0.196436,0.143159,0.958957,0.244759,-0.235767,-0.207143,0.949477,0.321694,-0.129019,1.051584,
5.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.943288,-0.290584,0.160524,0.250542,0.940380,0.230032,-0.217797,-0.176768,0.959853,0.349533,-0.116451,1.044436,
6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.913908,-0.385140,0.128220,0.354730,0.911317,0.208968,-0.197331,-0.145494,0.969480,0.373764,-0.098587,1.038447,
6.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.873501,-0.476324,0.100553,0.454439,0.871888,0.182471,-0.174586,-0.113694,0.978056,0.393543,-0.076342,1.033794,
6.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.822645,-0.563130,0.078354,0.548462,0.822315,0.151617,-0.149811,-0.081752,0.985329,0.408213,-0.050760,1.030598,
6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.762039,-0.644534,0.062233,0.635687,0.762935,0.117608,-0.123282,-0.050061,0.991108,0.417332,-0.022979,1.028925,
6.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692492,-0.719508,0.052557,0.715104,0.694223,0.081731,-0.095293,-0.019015,0.995268,0.420676,0.005820,1.028780,
6.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.614908,-0.787047,0.049447,0.785819,0.616795,0.045307,-0.066157,0.010997,0.997749,0.418243,0.034449,1.030111,
6.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530270,-0.846185,0.052774,0.847056,0.531416,0.009636,-0.036199,0.039593,0.998560,0.410254,0.061763,1.032809,
6.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.439623,-0.896028,0.062175,0.898164,0.439002,-0.024046,-0.005749,0.066415,0.997776,0.397132,0.086698,1.036719,
6.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.344063,-0.935779,0.077067,0.938618,0.340609,-0.054616,0.024858,0.091128,0.995529,0.379485,0.108312,1.041642,
6.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.244722,-0.964761,0.096677,0.968016,0.237420,-0.081102,0.055291,0.113432,0.992006,0.358082,0.125815,1.047343,
7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142757,-0.982447,0.120078,0.986082,0.130730,-0.102722,0.085221,0.133071,0.987436,0.333813,0.138599,1.053567,
7.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039339,-0.988469,0.146228,0.992664,0.021916,-0.118904,0.114328,0.149832,0.982079,0.307657,0.146257,1.060043,
7.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064359,-0.982638,0.174013,0.987729,-0.087591,-0.129306,0.142303,0.163555,0.976217,0.280637,0.148593,1.066498,
7.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.167166,-0.964951,0.202297,0.971363,-0.196332,-0.133820,0.168848,0.174134,0.970138,0.253783,0.145625,1.072669,
7.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.267928,-0.935591,0.229965,0.943770,-0.302856,-0.132574,0.193681,0.181514,0.964127,0.228085,0.137577,1.078310,
7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.365511,-0.894920,0.255968,0.905269,-0.405752,-0.125910,0.216539,0.185699,0.958450,0.204460,0.124866,1.083207,
7.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.458816,-0.843472,0.279361,0.856292,-0.503670,-0.114371,0.237174,0.186739,0.953350,0.183714,0.108078,1.087178,
7.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.546783,-0.781937,0.299337,0.797382,-0.595354,-0.098668,0.255364,0.184736,0.949032,0.166514,0.087937,1.090088,
7.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.628404,-0.711141,0.315255,0.729190,-0.679661,-0.079645,0.270906,0.179832,0.945659,0.153368,0.065277,1.091846,
7.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.702735,-0.632027,0.326659,0.652473,-0.755571,-0.058242,0.283624,0.172207,0.943346,0.144608,0.040995,1.092411,
8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.768902,-0.545629,0.333284,0.568087,-0.822205,-0.035451,0.293371,0.162076,0.942160,0.140384,0.016025,1.091791,
8.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.826119,-0.453055,0.335065,0.476982,-0.878828,-0.012277,0.300026,0.149677,0.942115,0.140667,-0.008712,1.090038,
8.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.873693,-0.355463,0.332124,0.380192,-0.924850,0.010301,0.303503,0.135271,0.943180,0.145254,-0.032338,1.087249,
8.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.911038,-0.254043,0.324763,0.278830,-0.959828,0.031368,0.303748,0.119131,0.945275,0.153788,-0.054049,1.083557,
8.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.937686,-0.149998,0.313441,0.174069,-0.983458,0.050108,0.300740,0.101546,0.948285,0.165773,-0.073149,1.079126,
8.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.953291,-0.044531,0.298752,0.067135,-0.995570,0.065827,0.294497,0.082809,0.952058,0.180602,-0.089068,1.074143,
8.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.957641,0.061166,0.281393,-0.040711,-0.996124,0.077976,0.285071,0.063217,0.956419,0.197586,-0.101380,1.068807,
8.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.950660,0.165922,0.262137,-0.148190,-0.985198,0.086165,0.272554,0.043068,0.961176,0.215980,-0.109814,1.063325,
8.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.932411,0.268596,0.241799,-0.254019,-0.962987,0.090173,0.257070,0.022657,0.966127,0.235021,-0.114256,1.057903,
8.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.903097,0.368082,0.221204,-0.356930,-0.929790,0.089947,0.238781,0.002276,0.971071,0.253947,-0.114747,1.052733,
9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.863061,0.463316,0.201154,-0.455688,-0.886014,0.085597,0.217884,-0.017788,0.975813,0.272038,-0.111478,1.047995,
9.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.812780,0.553280,0.182401,-0.549107,-0.832162,0.077388,0.194604,-0.037258,0.980174,0.288630,-0.104772,1.043844,
9.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.752856,0.637007,0.165619,-0.636066,-0.768831,0.065720,0.169198,-0.055867,0.983997,0.303145,-0.095070,1.040405,
9.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.684014,0.713588,0.151386,-0.715525,-0.696714,0.051113,0.141946,-0.073358,0.987152,0.315108,-0.082907,1.037774,
9.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.607085,0.782179,0.140159,-0.786540,-0.616593,0.034177,0.113154,-0.089492,0.989539,0.324158,-0.068892,1.036013,
9.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.522998,0.842009,0.132267,-0.848269,-0.529336,0.015591,0.083142,-0.104044,0.991091,0.330059,-0.053678,1.035146,
9.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.432768,0.892386,0.127902,-0.899990,-0.435893,-0.003928,0.052246,-0.116811,0.991779,0.332704,-0.037940,1.035166,
