time,omega1,omega2,omega3,rotation11,rotation12,rotation13,rotation21,rotation22,rotation23,rotation31,rotation32,rotation33,ell1,ell2,ell3,energy,
1.040000,0.612677,0.912598,9.979960,-0.543557,0.839336,-0.007666,-0.838192,-0.542287,0.057936,0.044471,0.037918,0.998291,4.999999,0.000008,130.000000,652.499998,
1.050000,0.556616,0.959290,9.977854,-0.457121,0.889233,-0.017409,-0.888549,-0.455736,0.052769,0.038990,0.039590,0.998455,4.999998,0.000008,130.000000,652.499998,
1.060000,0.497909,1.001390,9.975866,-0.366068,0.930217,-0.026246,-0.929994,-0.364682,0.046012,0.033230,0.041252,0.998596,4.999997,0.000007,130.000000,652.499998,
1.070000,0.436835,1.038701,9.974031,-0.271312,0.961893,-0.033923,-0.962105,-0.270038,0.037839,0.027236,0.042904,0.998708,4.999996,0.000006,130.000000,652.499998,
1.080000,0.373687,1.071048,9.972386,-0.173807,0.983957,-0.040218,-0.984554,-0.172749,0.028462,0.021057,0.044544,0.998785,4.999995,0.000005,130.000000,652.499998,
1.090000,0.308766,1.098279,9.970962,-0.074534,0.996204,-0.044946,-0.997109,-0.073784,0.018127,0.014742,0.046167,0.998825,4.999994,0.000003,130.000000,652.499997,
1.100000,0.242381,1.120269,9.969786,0.025506,0.998522,-0.047968,-0.999639,0.025876,0.007111,0.008341,0.047770,0.998824,4.999994,0.000002,130.000000,652.499997,
1.110000,0.174846,1.136913,9.968880,0.125305,0.990897,-0.049193,-0.992116,0.125245,-0.004295,0.001905,0.049343,0.998780,4.999993,0.000001,130.000000,652.499997,
1.120000,0.106483,1.148135,9.968262,0.223853,0.973411,-0.048579,-0.974612,0.223341,-0.015784,-0.004514,0.050879,0.998695,4.999993,-0.000001,130.000000,652.499997,
1.130000,0.037616,1.153883,9.967943,0.320155,0.946240,-0.046138,-0.947302,0.319196,-0.027048,-0.010867,0.052366,0.998569,4.999994,-0.000002,130.000000,652.499997,
1.140000,-0.031430,1.154130,9.967929,0.413239,0.909656,-0.041932,-0.910461,0.411863,-0.037787,-0.017103,0.053792,0.998406,4.999994,-0.000004,130.000000,652.499997,
1.150000,-0.100327,1.148874,9.968221,0.502164,0.864019,-0.036073,-0.864461,0.500429,-0.047713,-0.023173,0.055143,0.998210,4.999995,-0.000005,130.000000,652.499997,
1.160000,-0.168748,1.138141,9.968813,0.586031,0.809778,-0.028720,-0.809767,0.584017,-0.056562,-0.029030,0.056404,0.997986,4.999996,-0.000006,130.000000,652.499997,
1.170000,-0.236370,1.121980,9.969694,0.663995,0.747466,-0.020074,-0.746933,0.661801,-0.064102,-0.034629,0.057557,0.997741,4.999997,-0.000008,130.000000,652.499997,
1.180000,-0.302872,1.100466,9.970846,0.735271,0.677693,-0.010371,-0.676595,0.733006,-0.070136,-0.039929,0.058586,0.997484,4.999998,-0.000008,130.000000,652.499997,
1.190000,-0.367937,1.073699,9.972249,0.799140,0.601143,0.000121,-0.599465,0.796924,-0.074510,-0.044888,0.059471,0.997220,4.999999,-0.000009,130.000000,652.499997,
1.200000,-0.431256,1.041805,9.973876,0.854963,0.518569,0.011114,-0.516323,0.852913,-0.077117,-0.049470,0.060194,0.996960,5.000001,-0.000009,130.000000,652.499998,
1.210000,-0.492527,1.004932,9.975694,0.902179,0.430782,0.022306,-0.428011,0.900409,-0.077901,-0.053643,0.060734,0.996712,5.000002,-0.000010,129.999999,652.499998,
1.220000,-0.551459,0.963254,9.977671,0.940319,0.338649,0.033388,-0.335419,0.938928,-0.076857,-0.057376,0.061071,0.996483,5.000004,-0.000010,129.999999,652.499998,
1.230000,-0.607768,0.916965,9.979767,0.969004,0.243081,0.044056,-0.239481,0.968073,-0.074032,-0.060645,0.061186,0.996282,5.000005,-0.000009,129.999999,652.499998,
1.240000,-0.661184,0.866284,9.981944,0.987951,0.145026,0.054019,-0.141165,0.987541,-0.069522,-0.063428,0.061059,0.996117,5.000006,-0.000009,129.999999,652.499998,
1.250000,-0.711451,0.811450,9.984159,0.996976,0.045462,0.063004,-0.041458,0.997121,-0.063475,-0.065709,0.060671,0.995993,5.000007,-0.000008,129.999999,652.499998,
1.260000,-0.758325,0.752722,9.986371,0.995995,-0.054616,0.070770,0.058639,0.996702,-0.056077,-0.067474,0.060002,0.995915,5.000009,-0.000007,129.999999,652.499998,
1.270000,-0.801581,0.690379,9.988536,0.985025,-0.154203,0.077107,0.158121,0.986273,-0.047557,-0.068716,0.059037,0.995888,5.000009,-0.000006,129.999999,652.499998,
1.280000,-0.841009,0.624717,9.990614,0.964181,-0.252298,0.081851,0.255994,0.965923,-0.038173,-0.069430,0.057759,0.995913,5.000010,-0.000005,129.999999,652.499998,
1.290000,-0.876416,0.556051,9.992565,0.933678,-0.347908,0.084879,0.351279,0.935845,-0.028209,-0.069619,0.056154,0.995992,5.000011,-0.000004,129.999999,652.499999,
1.300000,-0.907631,0.484707,9.994351,0.893826,-0.440064,0.086121,0.443026,0.896328,-0.017964,-0.069287,0.054211,0.996123,5.000011,-0.000002,129.999999,652.499999,
1.310000,-0.934501,0.411028,9.995938,0.845029,-0.527829,0.085557,0.530320,0.847761,-0.007746,-0.068443,0.051919,0.996303,5.000011,-0.000001,129.999999,652.499999,
1.320000,-0.956894,0.335367,9.997296,0.787778,-0.610310,0.083222,0.612292,0.790628,0.002139,-0.067103,0.049271,0.996529,5.000011,0.000000,129.999999,652.499999,
1.330000,-0.974701,0.258089,9.998399,0.722647,-0.686664,0.079198,0.688126,0.725500,0.011395,-0.065283,0.046263,0.996794,5.000010,0.000001,129.999999,652.499999,
1.340000,-0.987835,0.179565,9.999225,0.650288,-0.756111,0.073618,0.757069,0.653035,0.019745,-0.063005,0.042894,0.997091,5.000009,0.000003,130.000000,652.499999,
1.350000,-0.996230,0.100175,9.999759,0.571424,-0.817942,0.066661,0.818436,0.573965,0.026937,-0.060294,0.039165,0.997412,5.000009,0.000004,130.000000,652.499999,
1.360000,-0.999845,0.020301,9.999990,0.486843,-0.871524,0.058544,0.871615,0.489093,0.032755,-0.057180,0.035082,0.997747,5.000008,0.000004,130.000000,652.499999,
1.370000,-0.998664,-0.059671,9.999914,0.397386,-0.916314,0.049520,0.916078,0.399284,0.037020,-0.053694,0.030653,0.998087,5.000006,0.000005,130.000000,652.499999,
1.380000,-0.992691,-0.139355,9.999533,0.303945,-0.951854,0.039865,0.951382,0.305453,0.039600,-0.049871,0.025890,0.998420,5.000005,0.000005,130.000000,652.499999,
1.390000,-0.981956,-0.218367,9.998854,0.207451,-0.977788,0.029876,0.977174,0.208556,0.040413,-0.045746,0.020810,0.998736,5.000004,0.000006,130.000000,652.499999,
1.400000,-0.966511,-0.296324,9.997889,0.108865,-0.993857,0.019859,0.993195,0.109580,0.039427,-0.041361,0.015431,0.999025,5.000003,0.000005,130.000000,652.499999,
1.410000,-0.946433,-0.372852,9.996658,0.009169,-0.999906,0.010121,0.999281,0.009535,0.036661,-0.036754,0.009777,0.999277,5.000001,0.000005,130.000000,652.499999,
1.420000,-0.921820,-0.447581,9.995183,-0.090641,-0.995882,0.000961,0.995369,-0.090564,0.032188,-0.031968,0.003874,0.999481,5.000000,0.000005,130.000000,652.499999,
1.430000,-0.892793,-0.520154,9.993494,-0.189571,-0.981839,-0.007338,0.981493,-0.189699,0.026130,-0.027047,-0.002249,0.999632,4.999999,0.000004,130.000000,652.499999,
1.440000,-0.859493,-0.590221,9.991622,-0.286630,-0.957930,-0.014517,0.957787,-0.286870,0.018653,-0.022033,-0.008558,0.999721,4.999998,0.000003,130.000000,652.499999,
1.450000,-0.822083,-0.657448,9.989604,-0.380847,-0.924413,-0.020352,0.924481,-0.381095,0.009968,-0.016971,-0.015019,0.999743,4.999997,0.000002,130.000000,652.499998,
1.460000,-0.780746,-0.721513,9.987478,-0.471278,-0.881639,-0.024653,0.881903,-0.471428,0.000318,-0.011903,-0.021592,0.999696,4.999996,0.000001,130.000000,652.499998,
1.470000,-0.735680,-0.782112,9.985285,-0.557014,-0.830054,-0.027278,0.830473,-0.556966,-0.010025,-0.006872,-0.028237,0.999578,4.999996,-0.000001,130.000000,652.499998,
